adult,genre_ids,id,original_language,original_title,overview,popularity,release_date,title,video,vote_average,vote_count
FALSE,"c(28, 12, 35, 80, 53)",343668,en,Kingsman: The Golden Circle,"When an attack on the Kingsman headquarters takes place and a new villain rises, Eggsy and Merlin are forced to work together with the American agency known as the Statesman to save the world.",105.011,9/20/17,Kingsman: The Golden Circle,FALSE,7,7837
FALSE,"c(53, 28, 80)",324552,en,John Wick: Chapter 2,"John Wick is forced out of retirement by a former associate looking to seize control of a shadowy international assassins’ guild. Bound by a blood oath to aid him, Wick travels to Rome and does battle against some of the world’s most dangerous killers.",103.676,2/8/17,John Wick: Chapter 2,FALSE,7.2,9305
FALSE,"c(18, 10749)",337167,en,Fifty Shades Freed,"Believing they have left behind shadowy figures from their past, newlyweds Christian and Ana fully embrace an inextricable connection and shared life of luxury. But just as she steps into her role as Mrs. Grey and he relaxes into an unfamiliar stability, new threats could jeopardize their happy ending before it even begins.",101.54,1/17/18,Fifty Shades Freed,FALSE,6.7,6351
FALSE,"c(28, 12, 80, 14, 878)",297761,en,Suicide Squad,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences.",101.242,8/3/16,Suicide Squad,FALSE,5.9,17587
FALSE,"c(28, 53)",416194,no,Skjelvet,"A geologist races against time to save his estranged wife and two children when a devastating earthquake strikes Oslo, Norway.",99.966,8/31/18,The Quake,FALSE,6.8,469
FALSE,"c(28, 18, 27, 53)",433945,ja,<U+6771><U+4EAC><U+55B0><U+7A2E> <U+30C8><U+30FC><U+30AD><U+30E7><U+30FC><U+30B0><U+30FC><U+30EB>,"A Tokyo college student is attacked by a ghoul, a super-powered human who feeds on human flesh. He survives, but has become part ghoul and becomes a fugitive on the run.",98.711,7/16/17,Tokyo Ghoul,FALSE,7,264
FALSE,"c(878, 18)",335984,en,Blade Runner 2049,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years.",97.967,10/4/17,Blade Runner 2049,FALSE,7.5,9748
FALSE,"c(12, 16)",366170,ja,<U+904A><U+2606><U+622F><U+2606><U+738B> THE DARK SIDE OF DIMENSIONS,Yugi and Kaiba have a special duel that transcends dimensions.,97.25,4/23/16,Yu-Gi-Oh!: The Dark Side of Dimensions,FALSE,7.5,226
FALSE,"c(28, 18)",348893,en,Boyka: Undisputed IV,"In the fourth installment of the fighting franchise, Boyka is shooting for the big leagues when an accidental death in the ring makes him question everything he stands for. When he finds out the wife of the man he accidentally killed is in trouble, Boyka offers to fight in a series of impossible battles to free her from a life of servitude",95.519,8/1/16,Boyka: Undisputed IV,FALSE,6.9,895
FALSE,"c(10751, 16, 12, 14)",436931,ja,<U+5287><U+5834><U+7248> <U+30DD><U+30B1><U+30C3><U+30C8><U+30E2><U+30F3><U+30B9><U+30BF><U+30FC> <U+30AD><U+30DF><U+306B><U+304D><U+3081><U+305F>!,"Ash Ketchum wakes up late one morning after having broken his alarm clock in his sleep. He eventually makes it to Professor Oak's lab, but is told that the three starter List of Pokémon (Bulbasaur, Squirtle, and Charmander) have already been taken by Trainers who were on time. However, Oak reveals that he has one more Pokémon, an Electric-type named Pikachu. Despite its volatile and feisty personality, as well as its refusal to get inside a Poké Ball, Ash happily takes Pikachu for his journey.",94.93,7/15/17,Pokémon the Movie: I Choose You!,FALSE,7,455
FALSE,"c(28, 878, 53)",274855,en,Geostorm,"After an unprecedented series of natural disasters threatened the planet, the world's leaders came together to create an intricate network of satellites to control the global climate and keep everyone safe. But now, something has gone wrong: the system built to protect Earth is attacking it, and it becomes a race against the clock to uncover the real threat before a worldwide geostorm wipes out everything and everyone along with it.",92.866,10/13/17,Geostorm,FALSE,6.1,3628
FALSE,"c(16, 12, 10751)",313297,en,Kubo and the Two Strings,"Kubo mesmerizes the people in his village with his magical gift for spinning wild tales with origami. When he accidentally summons an evil spirit seeking vengeance, Kubo is forced to go on a quest to solve the mystery of his fallen samurai father and his mystical weaponry, as well as discover his own magical powers.",92.4,8/18/16,Kubo and the Two Strings,FALSE,7.7,2843
FALSE,18,480530,en,Creed II,"Between personal obligations and training for his next big fight against an opponent with ties to his family's past, Adonis Creed is up against the challenge of his life.",91.149,11/21/18,Creed II,FALSE,6.9,3806
FALSE,"c(12, 16, 35, 14)",223702,en,Sausage Party,Frank leads a group of supermarket products on a quest to discover the truth about their existence and what really happens when they become chosen to leave the grocery store.,90.758,7/11/16,Sausage Party,FALSE,5.7,5784
FALSE,"c(12, 28, 878, 35)",283995,en,Guardians of the Galaxy Vol. 2,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.,90.451,4/19/17,Guardians of the Galaxy Vol. 2,FALSE,7.6,16883
FALSE,"c(12, 18)",399360,en,Alpha,"In the prehistoric past, Keda, a young and inexperienced hunter, struggles to return home after being separated from his tribe when bison hunting goes awry. On his way back he will find an unexpected ally.",89.708,8/17/18,Alpha,FALSE,6.4,1977
FALSE,"c(878, 28, 12, 53)",336843,en,Maze Runner: The Death Cure,"Thomas leads his group of escaped Gladers on their final and most dangerous mission yet. To save their friends, they must break into the legendary Last City, a WCKD-controlled labyrinth that may turn out to be the deadliest maze of all. Anyone who makes it out alive will get answers to the questions the Gladers have been asking since they first arrived in the maze.",89.061,1/10/18,Maze Runner: The Death Cure,FALSE,7.1,5892
FALSE,"c(28, 12, 878, 53)",135397,en,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",87.206,6/6/15,Jurassic World,FALSE,6.7,17020
FALSE,"c(28, 12, 16, 10751)",260513,en,Incredibles 2,"Elastigirl springs into action to save the day, while Mr. Incredible faces his greatest challenge yet – taking care of the problems of his three children.",86.57,6/14/18,Incredibles 2,FALSE,7.5,10118
FALSE,"c(28, 9648, 53, 878)",500921,en,Between Worlds,"Joe—a down-on-his-luck truck driver haunted by the memory of his deceased wife and child—meets Julie, a spiritually gifted woman who enlists his help in a desperate effort to find the lost soul of her comatose daughter. But the spirit of Joe's dead wife proves stronger, possessing the young woman's body and determined to settle her unfinished business with the living.",84.218,12/21/18,Between Worlds,FALSE,5.2,151
FALSE,"c(10751, 10770, 16)",359983,en,The Lion Guard: Return of the Roar,"Set in the African savannah, the film follows Kion as he assembles the members of the 'Lion Guard'. Throughout the film, the diverse team of young animals will learn how to utilize each of their unique abilities to solve problems and accomplish tasks to maintain balance within the Circle of Life, while also introducing viewers to the vast array of animals that populate the prodigious African landscape.",83.67,11/22/15,The Lion Guard: Return of the Roar,FALSE,6.4,585
FALSE,"c(10751, 16, 35, 14)",159824,en,Hotel Transylvania 2,"When the old-old-old-fashioned vampire Vlad arrives at the hotel for an impromptu family get-together, Hotel Transylvania is in for a collision of supernatural old-school and modern day cool.",82.775,9/21/15,Hotel Transylvania 2,FALSE,6.8,4396
FALSE,"c(28, 12, 878)",424783,en,Bumblebee,"On the run in the year 1987, Bumblebee finds refuge in a junkyard in a small Californian beach town. Charlie, on the cusp of turning 18 and trying to find her place in the world, discovers Bumblebee, battle-scarred and broken.  When Charlie revives him, she quickly learns this is no ordinary yellow VW bug.",82.482,12/15/18,Bumblebee,FALSE,6.7,4524
FALSE,"c(10751, 16, 35, 12)",404368,en,Ralph Breaks the Internet,"Video game bad guy Ralph and fellow misfit Vanellope von Schweetz must risk it all by traveling to the World Wide Web in search of a replacement part to save Vanellope's video game, Sugar Rush. In way over their heads, Ralph and Vanellope rely on the citizens of the internet — the netizens — to help navigate their way, including an entrepreneur named Yesss, who is the head algorithm and the heart and soul of trend-making site BuzzzTube.",82.275,11/20/18,Ralph Breaks the Internet,FALSE,7.2,5676
FALSE,"c(28, 12, 14)",297802,en,Aquaman,"Once home to the most advanced civilization on Earth, Atlantis is now an underwater kingdom ruled by the power-hungry King Orm. With a vast army at his disposal, Orm plans to conquer the remaining oceanic people and then the surface world. Standing in his way is Arthur Curry, Orm's half-human, half-Atlantean brother and true heir to the throne.",82.204,7/6/18,Aquaman,FALSE,6.9,10693
FALSE,"c(18, 10749)",341174,en,Fifty Shades Darker,"When a wounded Christian Grey tries to entice a cautious Ana Steele back into his life, she demands a new arrangement before she will give him another chance. As the two begin to build trust and find stability, shadowy figures from Christian’s past start to circle the couple, determined to destroy their hopes for a future together.",82.048,2/8/17,Fifty Shades Darker,FALSE,6.5,6330
FALSE,"c(28, 14, 878, 12)",268896,en,Pacific Rim: Uprising,"It has been ten years since The Battle of the Breach and the oceans are still, but restless. Vindicated by the victory at the Breach, the Jaeger program has evolved into the most powerful global defense force in human history. The PPDC now calls upon the best and brightest to rise up and become the next generation of heroes when the Kaiju threat returns.",81.777,3/21/18,Pacific Rim: Uprising,FALSE,6.1,3668
FALSE,"c(28, 53, 80)",345887,en,The Equalizer 2,"Robert McCall, who serves an unflinching justice for the exploited and oppressed, embarks on a relentless, globe-trotting quest for vengeance when a long-time girl friend is murdered.",81.072,7/19/18,The Equalizer 2,FALSE,6.6,3531
FALSE,"c(878, 28, 53, 12)",294254,en,Maze Runner: The Scorch Trials,"Thomas and his fellow Gladers face their greatest challenge yet: searching for clues about the mysterious and powerful organization known as WCKD. Their journey takes them to the Scorch, a desolate landscape filled with unimaginable obstacles. Teaming up with resistance fighters, the Gladers take on WCKD’s vastly superior forces and uncover its shocking plans for them all.",80.937,9/9/15,Maze Runner: The Scorch Trials,FALSE,6.7,8310
FALSE,"c(28, 53)",399402,en,Hunter Killer,"Captain Glass of the USS Arkansas discovers that a coup d'état is taking place in Russia, so he and his crew join an elite group working on the ground to prevent a war.",80.869,10/19/18,Hunter Killer,FALSE,6.8,1525
FALSE,"c(28, 80)",339403,en,Baby Driver,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",79.791,6/28/17,Baby Driver,FALSE,7.5,12105
FALSE,"c(878, 28, 12, 10751)",438590,en,A-X-L,The life of a teenage boy is forever altered by a chance encounter with cutting edge military technology.,78.345,8/23/18,A-X-L,FALSE,6.3,899
FALSE,"c(16, 12, 35, 10751)",260514,en,Cars 3,"Blindsided by a new generation of blazing-fast racers, the legendary Lightning McQueen is suddenly pushed out of the sport he loves. To get back in the game, he will need the help of an eager young race technician with her own plan to win, inspiration from the late Fabulous Hudson Hornet, and a few unexpected turns. Proving that #95 isn't through yet will test the heart of a champion on Piston Cup Racing’s biggest stage!",77.922,6/15/17,Cars 3,FALSE,6.9,4081
FALSE,"c(28, 10752)",546230,ms,Paskal,"The true events of Lieutenant Commander Arman Anwar of PASKAL, an elite unit in the Royal Malaysian Navy, and his team's mission to rescue the MV Bunga Laurel, a tanker which was hijacked by Somalian Pirates in 2011.",77.754,9/27/18,Paskal,FALSE,7.8,54
FALSE,"c(28, 18, 53)",254128,en,San Andreas,"In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey across the state in order to rescue his estranged daughter.",77.391,5/27/15,San Andreas,FALSE,6.2,6696
FALSE,"c(28, 12, 878, 14)",335988,en,Transformers: The Last Knight,"Autobots and Decepticons are at war, with humans on the sidelines. Optimus Prime is gone. The key to saving our future lies buried in the secrets of the past, in the hidden history of Transformers on Earth.",77.295,6/16/17,Transformers: The Last Knight,FALSE,6.1,4562
FALSE,"c(28, 80, 53)",273481,en,Sicario,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,77.136,9/17/15,Sicario,FALSE,7.4,6252
FALSE,"c(878, 28, 16)",487242,en,Suicide Squad: Hell to Pay,Task Force X targets a powerful mystical object that they will risk their lives to steal.,76.76,5/9/18,Suicide Squad: Hell to Pay,FALSE,7.2,378
FALSE,"c(27, 9648, 53)",439079,en,The Nun,"When a young nun at a cloistered abbey in Romania takes her own life, a priest with a haunted past and a novitiate on the threshold of her final vows are sent by the Vatican to investigate. Together they uncover the order’s unholy secret. Risking not only their lives but their faith and their very souls, they confront a malevolent force in the form of the same demonic nun that first terrorized audiences in “The Conjuring 2” as the abbey becomes a horrific battleground between the living and the damned.",76.566,9/5/18,The Nun,FALSE,5.8,4726
FALSE,"c(18, 14)",345938,en,The Shack,"After suffering a family tragedy, Mack Phillips spirals into a deep depression causing him to question his innermost beliefs. Facing a crisis of faith, he receives a mysterious letter urging him to an abandoned shack deep in the Oregon wilderness. Despite his doubts, Mack journeys to the shack and encounters an enigmatic trio of strangers led by a woman named Papa. Through this meeting, Mack finds important truths that will transform his understanding of his tragedy and change his life forever.",75.955,3/3/17,The Shack,FALSE,7.4,1499
FALSE,"c(18, 10749)",296096,en,Me Before You,"A small town girl is caught between dead-end jobs. A high-profile, successful man becomes wheelchair bound following an accident. The man decides his life is not worth living until the girl is hired for six months to be his new caretaker. Worlds apart and trapped together by circumstance, the two get off to a rocky start. But the girl becomes determined to prove to the man that life is worth living and as they embark on a series of adventures together, each finds their world changing in ways neither of them could begin to imagine.",75.031,6/1/16,Me Before You,FALSE,7.9,9169
FALSE,"c(18, 878, 10752)",281338,en,War for the Planet of the Apes,"Caesar and his apes are forced into a deadly conflict with an army of humans led by a ruthless Colonel. After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind. As the journey finally brings them face to face, Caesar and the Colonel are pitted against each other in an epic battle that will determine the fate of both their species and the future of the planet.",74.862,7/11/17,War for the Planet of the Apes,FALSE,7.1,6842
FALSE,"c(10749, 35)",454983,en,The Kissing Booth,"When teenager Elle's first kiss leads to a forbidden romance with the hottest boy in high school, she risks her relationship with her best friend.",74.839,5/11/18,The Kissing Booth,FALSE,7.3,6040
